index,Entity,Code,Year,cumulative_emissions_total,emissions_total,population,longitude,latitude
3,Argentina,ARG,1950,541877100.0,29921192.0,17018032,-58.4173,-34.6118
52,Mexico,MEX,1950,1327819000.0,30507610.0,27587941,-99.1276,19.427
53,Moldova,MDA,1950,112396220.0,6991535.0,2528365,28.8497,47.0167
54,Mongolia,MNG,1950,285792.0,285792.0,781691,106.937,47.9129
55,Morocco,MAR,1950,10821535.0,2559830.0,8935456,-6.8704,33.9905
56,Nepal,NPL,1950,25648.0,25648.0,8396610,85.3157,27.6939
57,New Caledonia,NCL,1950,219840.0,219840.0,63807,166.464,-22.2677
74,Sierra Leone,SLE,1950,157552.0,157552.0,1999628,-13.2134,8.4821
75,Singapore,SGP,1950,1913932.0,1913932.0,1013318,103.85,1.28941
76,Slovenia,SVN,1950,34803570.0,2249161.0,1446362,14.5044,46.0546
77,Somalia,SOM,1950,47632.0,47632.0,2213139,45.3254,2.07515
78,South Korea,KOR,1950,15946977.0,2183685.0,19757319,126.957,37.5323
79,Sri Lanka,LKA,1950,1626816.0,1626816.0,7811051,79.8528,6.92148
4,Azerbaijan,AZE,1950,144783140.0,8952894.0,3131979,49.8932,40.3834
21,Djibouti,DJI,1950,10992.0,10992.0,62349,43.1425,11.5806
22,Dominican Republic,DOM,1950,1837211.0,348165.0,2379896,-69.8908,18.479
23,Ecuador,ECU,1950,22674456.0,740272.0,3516791,-78.5243,-0.229498
24,Equatorial Guinea,GNQ,1950,10992.0,10992.0,226570,8.7741,3.7523
25,Eswatini,SWZ,1950,3664.0,3664.0,271670,31.4659,-26.5225
26,Ethiopia,ETH,1950,127884.0,87907.0,17670418,38.7468,9.02274
27,Faroe Islands,FRO,1950,40304.0,40304.0,31690,-6.91181,61.8926
28,Fiji,FJI,1950,120912.0,120912.0,309525,178.399,-18.1149
45,Italy,ITA,1950,1691493100.0,41430596.0,46391674,12.4823,41.8955
46,Jamaica,JAM,1950,271136.0,271136.0,1407214,-76.792,17.9927
47,Japan,JPN,1950,4116988000.0,102540984.0,86443278,139.77,35.67
48,Kazakhstan,KAZ,1950,725600300.0,45157452.0,6787149,71.4382,51.1879
49,Kenya,KEN,1950,908672.0,908672.0,5769190,36.8126,-1.27975
50,Lebanon,LBN,1950,2773264.0,1512165.0,1349351,35.5134,33.8872
51,Mauritius,MUS,1950,201520.0,201520.0,525560,57.4977,-20.1605
29,Finland,FIN,1950,123643496.0,6544565.0,4008410,24.9525,60.1608
30,Gabon,GAB,1950,10448.0,10448.0,472843,9.45162,0.38832
31,Gambia,GMB,1950,14656.0,14656.0,306745,-16.5885,13.4495
32,Georgia,GEO,1950,44597504.0,2756028.0,3497447,44.793,41.71
33,Greece,GRC,1950,62244376.0,4127723.2,7651080,23.7166,37.9792
34,Greenland,GRL,1950,98928.0,98928.0,23231,-51.7214,64.1836
35,Grenada,GRD,1950,7328.0,7328.0,77280,-61.7449,12.0653
36,Guatemala,GTM,1950,1361992.0,622100.0,3097199,-90.5328,14.6248
37,Guyana,GUY,1950,260144.0,260144.0,418045,-58.1548,6.80461
38,Haiti,HTI,1950,405323.0,113699.0,3265716,-72.3288,18.5392
39,Hong Kong,HKG,1950,1555000.0,1318773.0,1978347,114.109,22.3964
40,Indonesia,IDN,1950,582823600.0,9830512.0,68799031,106.83,-6.19752
41,Iran,IRN,1950,810457100.0,9600773.0,16510553,51.4447,35.6878
42,Iraq,IRQ,1950,130841144.0,1648533.0,5653357,44.394,33.3302
43,Ireland,IRL,1950,234477540.0,9726138.0,2912656,-6.26749,53.3441
44,Israel,ISR,1950,3261056.0,1669239.0,1289244,35.2035,31.7717
58,Niger,NER,1950,28373.0,28373.0,2597818,2.1073,13.514
59,Nigeria,NGA,1950,31975728.0,2257024.0,37283019,7.48906,9.05804
60,North Macedonia,MKD,1950,23517218.0,1507241.0,1248682,21.4361,42.0024
61,Pakistan,PAK,1950,8390439.0,5354962.0,35849256,72.8,30.5167
62,Papua New Guinea,PNG,1950,54960.0,54960.0,1543441,147.194,-9.47357
63,Paraguay,PRY,1950,162471.0,62670.0,1504351,-57.6362,-25.3005
64,Peru,PER,1950,204730580.0,4545396.0,7677414,-77.0465,-12.0931
65,Philippines,PHL,1950,6806070.0,3604187.0,18849532,121.035,14.5515
66,Poland,POL,1950,5566386000.0,112122900.0,24780169,21.02,52.26
67,Russia,RUS,1950,6677897700.0,415060930.0,103392364,37.6176,55.7558
68,Saint Kitts and Nevis,KNA,1950,6107.0,6107.0,47254,-62.7309,17.3
69,Saint Lucia,LCA,1950,3664.0,3664.0,93009,-60.9832,14.0
70,Samoa,WSM,1950,3664.0,3664.0,88299,-171.752,-13.8314
71,Saudi Arabia,SAU,1950,126169840.0,5140592.0,1703280,46.6977,24.6748
72,Senegal,SEN,1950,361720.0,361720.0,2555376,-17.4734,14.7247
73,Serbia,SRB,1950,122487880.0,7930859.0,6009201,20.4656,44.8024
89,Venezuela,VEN,1950,265981550.0,38341028.0,5488858,-69.8371,9.08165
90,Vietnam,VNM,1950,140489300.0,1479660.0,25100732,105.825,21.0069
91,Zimbabwe,ZWE,1950,96771570.0,3179810.0,2790908,31.0672,-17.8312
92,Afghanistan,AFG,1950,98928.0,84272.0,7776180,69.1761,34.5228
93,Antigua and Barbuda,ATG,1950,12213.0,12213.0,45462,-61.8456,17.1175
94,Armenia,ARM,1950,23999892.0,1482164.0,1382896,44.509,40.1596
95,Aruba,ABW,1950,409579.0,409579.0,42763,-70.0167,12.5167
96,Australia,AUS,1950,1532032600.0,55738172.0,8176751,149.129,-35.282
97,Austria,AUT,1950,1678116900.0,20894256.0,6936455,16.3798,48.2201
98,Bahamas,BHS,1950,54960.0,54960.0,83505,-77.339,25.0661
99,Belarus,BLR,1950,303955970.0,18853082.0,7127595,27.5766,53.9678
100,Belize,BLZ,1950,18320.0,18320.0,69085,-88.7713,17.2534
101,Benin,BEN,1950,137812.0,137812.0,2250476,2.6323,6.4779
102,Bermuda,BMU,1950,43968.0,43968.0,37241,-64.706,32.3293
103,Brunei,BRN,1950,32921040.0,414032.0,48316,114.946,4.94199
104,Bulgaria,BGR,1950,119350360.0,7497770.0,7248509,23.3238,42.7105
5,Bahrain,BHR,1950,47478110.0,1381328.0,117275,50.5354,26.1921
6,Bangladesh,BGD,1950,1556337.0,993068.0,41206857,90.4113,23.7055
7,Barbados,BRB,1950,117248.0,73280.0,209928,-59.6105,13.0935
8,Belgium,BEL,1950,4702164000.0,76200490.0,8617442,4.36761,50.8371
9,Bolivia,BOL,1950,5145311.0,516896.0,3089975,-66.1936,-13.9908
10,Bosnia and Herzegovina,BIH,1950,42132228.0,2726553.0,2690407,18.4214,43.8607
11,Brazil,BRA,1950,315519000.0,19659072.0,53408551,-47.9292,-15.7801
12,Cameroon,CMR,1950,139232.0,139232.0,4330088,11.5174,3.8721
13,Canada,CAN,1950,4506218000.0,154133760.0,13741740,-75.6919,45.4215
14,Central African Republic,CAF,1950,47015.0,47015.0,1438062,21.6407,5.63056
15,Chad,TCD,1950,29602.0,29602.0,2525457,15.0445,12.1048
16,China,CHN,1950,2271156500.0,78835290.0,544044355,116.286,40.0495
17,Congo,COG,1950,88807.0,88807.0,835269,15.2662,-4.2767
18,Costa Rica,CRI,1950,1924627.0,286174.0,926761,-84.0089,9.63701
19,Cyprus,CYP,1950,267472.0,267472.0,493883,33.3736,35.1676
20,Democratic Republic of Congo,COD,1950,6641145.0,1479543.0,12294293,15.3222,-4.325
264,Albania,ALB,1951,7866342.0,402981.0,1276365,19.8172,41.3317
263,Zambia,ZMB,1951,4899622.0,2569435.0,2393306,28.2937,-15.3982
262,Yemen,YEM,1951,98928.0,40304.0,4684151,44.2075,15.352
261,Venezuela,VEN,1951,313361920.0,47380350.0,5732604,-69.8371,9.08165
260,Uruguay,URY,1951,80466456.0,2622206.0,2256416,-56.0675,-34.8941
259,United States,USA,1951,94606540000.0,2618711600.0,156481323,-77.032,38.8895
258,United Kingdom,GBR,1951,40356900000.0,545252800.0,50346821,-0.126236,51.5002
257,Ukraine,UKR,1951,2261045200.0,142721540.0,37807755,30.5038,50.4536
256,Turkmenistan,TKM,1951,97960970.0,6126151.0,1294081,58.3794,37.9509
255,Turkey,TUR,1951,194019940.0,10184316.0,21643878,32.3606,39.7153
254,Togo,TGO,1951,51296.0,25648.0,1424402,1.2255,6.1228
253,Syria,SYR,1951,1332425.0,380789.0,3684867,36.3119,33.5146
252,Switzerland,CHE,1951,485500480.0,12298391.0,4748090,7.44821,46.948
267,Antigua and Barbuda,ATG,1951,31754.0,19541.0,46444,-61.8456,17.1175
266,Angola,AGO,1951,436016.0,249152.0,4602567,13.242,-8.81155
265,Algeria,DZA,1951,15211148.0,4131178.8,9269870,3.05097,36.7397
296,Guyana,GUY,1951,545936.0,285792.0,429112,-58.1548,6.80461
295,Guinea-Bissau,GNB,1951,10992.0,3664.0,549745,-15.1804,11.8037
294,Guatemala,GTM,1951,1999290.0,637298.0,3177369,-90.5328,14.6248
293,Grenada,GRD,1951,18320.0,10992.0,77952,-61.7449,12.0653
292,Greece,GRC,1951,66818960.0,4574584.0,7712877,23.7166,37.9792
291,Ghana,GHA,1951,1513232.0,875696.0,5229134,-0.20795,5.57045
